видеть;see;saw;seen;
взять, брать;take;took;taken;
дать;give;gave;given;
писать;write;wrote;written;
гнать, ехать;drive;drove;driven;
выбрать;choose;chose;chosen;
падать;fall;fell;fallen;
сломать;break;broke;broken;
говорить;speak;spoke;spoken;
подняться;rise;rose;risen;
кушать, есть;eat;ate;eaten;
бить;beat;beat;beaten;
прятаться;hide;hid;hidden;
ездить верхом;ride;rode;ridden;
забыть;forget;forgot;forgotten;
просыпаться, будить;wake;woke;woken;
подняться, возникнуть;arise;arose;arisen;
трясти;shake;shook;shaken;
украсть;steal;stole;stolen;
кусать;bite;bit;bitten;
замерзнуть, замораживать;freeze;froze;frozen;
стараться;strive;strove;striven;
простить;forgive;forgave;forgiven;
будить, проснуться;awake;awoke;awoken;
вздуться;swell;swelled;swollen;
запретить;forbid;forbade;forbidden;
ткать;weave;wove;woven;
процветать;thrive;throve;thriven;
шить;sew;sewed;sewn;
ступать;tread;trod;trodden;
